Stock_Ticker,Decision_Date,Category,"MM_[-60,-30)_[-20,5)_NBS"
HPQ,"October 7, 2016",TJ|T100,-0.00534227202963|0.018520122657|-0.00159205198412|0.00692462951386|0.000661708143398|0.00594662343337|9.18331743313e-05|-0.00105077376386|0.0145429651517|-0.00280311472546|0.00580718535949|0.0071657117187|0.0122595202514|0.000952642375158|0.00681617576366|-0.00406248235677|0.0107253972167|-0.0130175386201|0.00833250708957|-0.00124809666038|0.00421896273268|-0.00792169013515|0.00829758941311|-0.00681228498916|-0.00647649085808@0.00696034663129
AVP,"November 18, 2011",TJ|T100|TVA|TVJ|TV100,0.0167428682363|0.00668499340673|-0.00971869200152|-0.0116765906725|-0.236480165865|0.00431879082191|-0.000570552320587|-0.000622083043856|-0.00615503292344|0.00600111515204|0.0217306792816|0.00499000318216|0.00270374965363|0.0218516103226|-0.0209791817236|-0.0133190055812|-0.00914138455782|-0.0151909165864|0.0157103680544|-0.00563577828267|-0.0115557985031|0.0129127341033|0.000794927268863|0.0122723462421|-0.0139927802272@0.00988020738922
AAPL,"September 14, 2016",TJ|T100|TVA|TVJ|TV100,0.00466227714113|-0.00219881873073|-0.00476798445575|0.000853884153938|-0.0116090955591|-0.00182630553491|-0.00244493613085|-0.00380856262761|-0.00735095420252|-0.00528222463308|-0.00732754182666|0.00219748201258|0.00149295484521|0.00434728233767|-0.00653991552615|0.00260980322002|-0.0244899168247|-0.00339183197443|0.00743962038764|0.0315050372289|0.0298270529557|0.0215884659445|-0.00727568750559|-0.0138513879139|-0.00360478843619@0.0141639262294
TGT,"November 6, 2012",TJ|T100|TVA|TVJ,0.00839486462078|-0.00104531278333|-0.0110416313856|0.000176453298825|-0.0209325552449|0.00101213002625|-0.000167322262755|0.00969062305104|0.00379917491556|-0.000136933066128|-0.00107847135365|-0.000504870948962|0.0117182296011|0.00548194162746|0.00190433199719|0.0102130694189|-0.00240303503312|-0.0192840462172|0.00194989290635|0.00781905155771|-0.00309484505248|-0.00381883392219|-0.00789885338103|0.000891578201619|-0.00138926161406@0.00845206451354
DE,"November 25, 2013",TJ|T100,-0.000750924340997|-0.012791237034|-0.00572316778286|-0.00151796792011|-0.00681275744009|0.00459178129|0.00287529666556|-0.0057786144185|0.00444424601192|-0.00571717890242|0.00501188354565|0.00828308096826|0.0050962797109|-0.00499168147814|-0.00109868943728|0.0108458897643|-0.00978851885302|0.0249371103716|-0.00802908303309|0.00846043407264|0.00129433415625|-0.00447209273042|0.00091082972529|0.00827983368041|-0.00739176235339@0.00814853377739
WDC,"July 26, 2011",TJ|T100|TVA|TVJ|TV100,-0.0118745396309|0.0150069319479|0.00475306067632|0.00913523223742|-0.0022222418485|0.0157506875071|0.020557171255|0.0174856420473|0.0128049440243|-0.0143156001849|-0.00684544541302|0.00149622557223|0.00870110459381|0.00984858703074|0.00582801454279|0.0198588003475|0.00503700569695|-0.0981985155462|0.0925368629116|-0.0185745858811|-0.00484105356122|-0.00642736101117|-0.000148821032971|-0.0234110199231|0.00679505828884@0.00972264819195
MSFT,"May 15, 2008",TJ|T100,0.00195061144633|0.0179334756099|0.0201750679247|-0.00531961906477|0.0493805877031|0.00271944233249|-0.0735317667733|-0.0286122100657|-0.015124051346|-0.00369369075212|0.0125895343772|-0.0114497309335|0.000135193485403|0.0103775762843|-4.67145341118e-05|0.00068884497405|0.0138377122087|0.0163056623011|-0.0015344240849|-0.00279008272352|0.010072561155|-0.0187039667359|-0.0221220901648|-0.0128381232361|-0.00429643572945@0.0112363890105
MMM,"November 30, 2012",TJ|TVA|TVJ,0.00987686399475|0.00353995370686|0.00843331865871|0.00701829049662|0.00675645440361|0.000259497793756|0.00310295718426|0.00424339525107|0.0029343358132|-0.008328742711|0.0087111238333|0.00188083741162|-0.00250578850427|5.68175723144e-05|-0.000356869186688|0.00408414067772|0.0033229698122|0.00994631736985|0.00141786006648|-0.00300014586075|0.00298227238949|-0.00200142227252|0.00147359804203|0.000566960181013|-0.00116226936664@0.00656992233684
DUK,"October 3, 2016",TJ|T100,0.0137121631156|0.00391913572712|0.00211681950342|0.00826693427125|-0.0189932053924|0.00170398026359|0.000901068936868|-0.00432705863892|-0.00279771634944|0.0113180678513|0.0163885246059|-0.00915160985502|0.0156441725887|0.0112776627965|0.0033473713528|-0.00119072674982|-0.0182688621617|0.000913166109491|-0.00277298934185|-0.00423643224062|-0.0105973062872|-0.0158428416277|-0.00106828624554|-0.000153104478492|-0.00839296704626@0.0079727980407
AMZN,"January 23, 2014",TJ,-0.0117404318791|-0.0181586200909|-0.00137151089875|-0.0169184428952|-0.0159787584618|0.00142893238087|0.0120630832865|-0.00573102836414|-0.00451301959141|-0.00548719853462|0.00554474465708|-0.00642529906245|-0.0177773780027|0.00662600390178|-0.0101304762037|-0.0160026102273|-0.00331912657292|0.0147362789659|0.0113226345846|-0.0101336158563|0.00122565304715|0.00905217914897|0.00504153414063|0.00402483547188|-0.00847030053994@0.0192538279642
