Stock_Ticker,Decision_Date,Last_Filing_Days,Category
PFE,"July 1, 2014",117,A3
CENT,"February 29, 2016",73,A3
JNJ,"April 4, 2013",2,A3
AAPL,"October 11, 2012",52,A3
HPQ,"November 16, 2015",39,A3
HPQ,"November 12, 2015",59,A3
CROX,"February 7, 2017",15,A3
POWI,"December 12, 2016",542|157,A3
BSX,"April 4, 2017",557|152,A3
CSCO,"June 23, 2015",1,A3
YHOO,"June 20, 2014",197,A3
RTEC,"November 4, 2013",437|87,A3
XLNX,"September 17, 2015",112,A3
NTIP,"July 11, 2016",3,A3
IDCC,"January 13, 2016",125,A3
MMM,"February 10, 2016",217,A3
ALNY,"March 23, 2017",70,A3
XLNX,"April 27, 2015",180,A3
LLNW,"February 7, 2017",15,A3
FDX,"July 10, 2014",100,A3
LLY,"July 9, 2015",141,A3
LLNW,"August 4, 2015",70,A3
CAMT,"February 3, 2016",2,A3
BDX,"July 7, 2014",59,A3
MRVL,"August 4, 2015",70,A3
PHG,"May 10, 2013",46,A3
MMM,"July 8, 2015",75,A3
HON,"October 11, 2016",370|6,A3
FB,"July 9, 2015",141,A3
BSX,"February 12, 2013",6,A3
ADBE,"April 8, 2016",288|2|284,A3
AAPL,"July 30, 2015",20,A3
PIR,"November 7, 2013",2,A3
DGLY,"January 13, 2017",3,A3
RTEC,"November 18, 2013",130,A3
CBSH,"March 27, 2017",20|424,A3
CLCT,"March 11, 2016",4,A3
COST,"February 12, 2016",126,A3
SATS,"December 22, 2015",76,A3
ESS,"March 4, 2013",56,A3
MSFT,"May 5, 2014",3,A3
MMM,"July 9, 2015",141,A3
F,"August 12, 2015",33,A3
MNTA,"June 18, 2015",63|594,A3
NOK,"November 10, 2015",77,A3
INTU,"November 16, 2015",39,A3
SYK,"September 12, 2016",3,A3
NOK,"December 16, 2015",14,A3
TEX,"May 14, 2013",98,A3
LLNW,"February 1, 2016",27,A3
AAPL,"June 27, 2014",25|22,A3
LLY,"January 13, 2016",125,A3
LPL,"September 14, 2015",33,A3
HPQ,"July 7, 2014",27,A3
XLNX,"July 9, 2015",141,A3
CAT,"July 8, 2015",75,A3
EBAY,"July 9, 2015",141,A3
BSX,"June 26, 2013",82,A3
AAPL,"December 3, 2015",38,A3
EBAY,"November 21, 2016",102,A3
GE,"July 8, 2015",75,A3
POWI,"March 26, 2013",749|14,A3
IPXL,"August 7, 2013",16,A3
MSFT,"June 23, 2015",1,A3
DE,"February 20, 2013",13,A3
PFE,"July 9, 2015",141,A3
EBAY,"December 16, 2015",14,A3
TGT,"August 15, 2014",37,A3
ADBE,"August 18, 2016",98,A3
AAPL,"March 1, 2017",30,A3
PFE,"July 8, 2015",75,A3
KMB,"July 10, 2014",100,A3
LLNW,"April 27, 2015",180,A3
HON,"September 11, 2015",1225|64,A3
HPQ,"September 14, 2015",33,A3
BGCA,"May 10, 2013",46,A3
AAPL,"January 8, 2016",599|157,A3
SUPN,"December 12, 2016",4,A3
FB,"September 9, 2016",128,A3
NOK,"November 18, 2013",101,A3
EBAY,"March 19, 2013",13,A3
ABBV,"July 21, 2015",27,A3
NFLX,"September 14, 2015",33,A3
MYGN,"November 16, 2015",39,A3
FB,"June 6, 2016",150,A3
ZNGA,"November 16, 2015",39,A3
RHT,"November 18, 2013",101,A3
NUVA,"February 7, 2017",15,A3
AAPL,"October 7, 2016",133|224,A3
RHT,"November 14, 2014",36,A3
CSCO,"May 1, 2013",85,A3
MSFT,"January 19, 2016",12,A3
AAPL,"March 17, 2015",487|132,A3
FB,"November 16, 2015",39,A3
YHOO,"November 16, 2015",39,A3
CALL,"April 6, 2017",2,A3
GMED,"October 19, 2015",11,A3
AAPL,"March 3, 2014",53,A3
INTC,"July 9, 2015",141,A3
CSCO,"May 31, 2016",210,A3
AMGN,"July 9, 2015",141,A3
NFLX,"November 7, 2016",4,A3
AAPL,"May 4, 2016",2|432,A3
MSFT,"August 4, 2015",70,A3
AAPL,"August 1, 2016",55,A3
CAT,"July 9, 2015",141,A3
NTAP,"November 16, 2015",39,A3
F,"March 7, 2017",263|89,A3
NVDA,"February 24, 2015",13,A3
GE,"May 8, 2014",91,A3
ZNGA,"May 10, 2013",46,A3
AAPL,"July 22, 2016",106,A3
NVDA,"April 25, 2016",21,A3
MU,"May 9, 2017",4,A3
FB,"February 7, 2017",15,A3
SHLD,"September 11, 2013",127,A3
NUVA,"June 3, 2016",92|72,A3
WILN,"August 1, 2014",22,A3
CELG,"June 17, 2015",68|414,A3
ITW,"July 8, 2015",75,A3
ACOR,"March 18, 2016",7,A3
HPQ,"May 10, 2013",46,A3
ADBE,"March 14, 2016",5,A3
GILD,"April 22, 2014",105,A3
TWTR,"September 9, 2016",128,A3
RHT,"November 21, 2016",102,A3
CSCO,"April 27, 2015",180,A3
ABT,"March 20, 2013",-37,A3
CSCO,"January 21, 2015",75,A3
AAPL,"September 16, 2014",139,A3
CSCO,"December 28, 2015",98,A3
LB,"February 12, 2016",126,A3
YHOO,"June 23, 2015",1,A3
HPQ,"November 14, 2014",36,A3
IDT,"May 20, 2013",38,A3
ST,"April 4, 2017",228|512|85,A3
AAPL,"November 29, 2016",543|124|438|235,A3
FB,"May 10, 2013",46,A3
AMZN,"June 23, 2015",1,A3
LLY,"July 1, 2014",117,A3
DECK,"February 7, 2017",15,A3
LLNW,"July 9, 2015",141,A3
RHT,"May 10, 2013",46,A3
NOK,"September 16, 2014",139,A3
ACTG,"September 12, 2016",496|40,A3
HPQ,"March 16, 2017",72,A3
OSTK,"May 10, 2013",46,A3
LB,"April 27, 2015",180,A3
GEVO,"November 16, 2012",3,A3
MSFT,"November 30, 2016",510|498|532|29,A3
ADBE,"September 14, 2015",33,A3
COF,"July 6, 2015",61,A3
NUVA,"August 9, 2016",19,A3
ABT,"June 26, 2013",82,A3
FNSR,"January 11, 2017",356|2,A3
HPQ,"February 2, 2015",3,A3
