Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0,"SM_[-20,0)_2LS"
BMY,"June 12, 2014",1,-0.10559468556342531
AGYS,"November 29, 2016",0,0.11034805716886557
FISV,"October 13, 2016",0,0.01723224039370414
FB,"May 17, 2016",1,0.07178361211907427
BMRN,"June 14, 2016",1,-0.03193979890351743
ADBE,"April 8, 2016",1,0.0951289454265903
HLIT,"January 29, 2016",0,-0.29086172536916044
ADSK,"April 12, 2016",1,0.004582278021453028
AMZN,"November 26, 2014",1,0.12527660907440033
NVTA,"June 12, 2015",1,0.2197643542777309
INTC,"April 25, 2016",1,-0.007556672994352736
INTC,"June 6, 2014",1,0.04776043493720293
AAPL,"October 7, 2016",1,0.07633249608879975
INTC,"July 7, 2014",1,0.11850571923358369
AAPL,"February 7, 2017",0,0.09984104566396147
ABT,"March 20, 2013",1,-0.03745282887367506
TWTR,"May 10, 2013",1,ERROR
POWI,"December 12, 2016",0,0.09669658891665926
PFE,"July 8, 2015",1,-0.00738444247430321
VAR,"March 16, 2017",0,0.11275251836558037
BDX,"July 7, 2014",1,0.011302351568108123
LLNW,"September 17, 2015",0,-0.1425333067355423
HPQ,"August 10, 2015",1,-0.041297952490908146
LLNW,"February 7, 2017",0,-0.0705137843276583
NVDA,"March 15, 2017",1,-0.061568597886826004
SYMC,"September 30, 2016",0,0.035819826657916436
BDC,"November 5, 2015",0,0.22374235423922398
YHOO,"January 13, 2017",1,0.015314967549057425
IDCC,"January 13, 2016",1,-0.06693107414130485
MNTA,"June 18, 2015",0,0.16964007815151974
F,"September 14, 2015",1,-0.07040217755617387
AET,"January 18, 2017",1,-0.0335153917333856
HPQ,"September 14, 2015",1,-0.04049467942604835
IBM,"October 2, 2013",0,0.013069179250906608
SNA,"October 14, 2014",1,-0.10132696307834715
NVS,"June 18, 2015",0,-0.02635583251550819
TWTR,"August 30, 2013",1,ERROR
AMPH,"November 10, 2015",0,0.10037428304645439
AAPL,"September 16, 2014",0,0.03657530658116851
